scheduler,average_score,median_score,average_waiting,average_response,average_turnaround,average_context_switches,average_regret,median_regret,worst_regret,zero_regret_percent,within_5_percent,within_10_percent
Rule-Based Adaptive,0.7657,0.752999,21.7599,21.2742,32.8435,11.2,36.6613,23.3836,146.756,5,5,15
ML-Based Adaptive,0.613251,0.573384,15.3085,15.2285,26.392,10.55,8.46334,0,146.756,90,90,90
