scheduler,average_score,median_score,average_waiting,average_response,average_turnaround,average_context_switches,average_regret,median_regret,worst_regret,zero_regret_percent,within_5_percent,within_10_percent
Rule-Based Adaptive,0.736282,0.765855,20.221,19.0148,29.623,12.4,30.4176,27.1161,86.1605,20,20,20
ML-Based Adaptive,0.597655,0.604182,13.8315,13.3481,23.2335,11.45,4.46688,0,46.1785,85,85,90
