scheduler,average_score,median_score,average_waiting,average_response,average_turnaround,average_context_switches,average_regret,median_regret,worst_regret,zero_regret_percent,within_5_percent,within_10_percent
Rule-Based Adaptive,0.726179,0.718765,21.8427,21.2844,32.7803,11.9,30.7231,19.8355,126.646,10,20,35
ML-Based Adaptive,0.589518,0.567651,15.1523,15.1523,26.0899,10.3,3.51216,0,70.0225,90,95,95
