feature,coef_FCFS,coef_SJF,coef_RR
num_processes,0.0,0.0,0.0
average_burst,-0.30882806150715697,0.2953492306570221,0.013478830850134857
burst_std,-0.40405078747122114,0.3027992703004164,0.10125151717080476
min_burst,-0.21202268988389197,0.363339162308215,-0.15131647242432306
max_burst,-0.3550215714567683,0.3171286311150125,0.03789294034175584
arrival_rate,-0.1029356747737152,0.4101046277329231,-0.3071689529592081
average_priority,-0.11304825615745374,0.25664204758389986,-0.1435937914264465
priority_std,-0.09904532128122076,0.24272205788927353,-0.14367673660805305
short_job_ratio,-0.14177166329407553,-0.2102640705157043,0.35203573380977954
long_job_ratio,0.14177166329407553,0.2102640705157043,-0.35203573380977954
