scheduler,average_score,median_score,average_waiting,average_response,average_turnaround,average_context_switches,average_regret,median_regret,worst_regret,zero_regret_percent,within_5_percent,within_10_percent
Rule-Based Adaptive,0.728657,0.728657,2.6,2.6,14.6,4,0.771746,0.771746,0.771746,0,100,100
ML-Based Adaptive,0.728657,0.728657,2.6,2.6,14.6,4,0.771746,0.771746,0.771746,0,100,100
